Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_13_trace,139.63556957244873,Pass,426.2238140106201,50000052,20101636,2.4874,6532412,191733,0.3250,0.0095,2.9351%,3.8347,13288020,69.3048,265.7601,25000052,9508221,2.6293,3378036,78012,0.3553,0.0082,2.3094%,3.1205,4995831,64.0393,199.8328
infra,infra_3_trace,83.57435989379883,Pass,345.8861072063446,40000016,7946526,5.0336,5433078,27847,0.6837,0.0035,0.5125%,0.6962,951363,34.1639,23.7841,20000016,3943157,5.0721,2737308,12475,0.6942,0.0032,0.4557%,0.6237,450383,36.1028,22.5191
infra,infra_2_trace,221.61112022399902,Pass,605.4396066665649,47546686,10496113,4.5299,5818731,14457,0.5544,0.0014,0.2485%,0.3041,574138,39.7135,12.0752,24546686,4235508,5.7955,2997214,2267,0.7076,0.0005,0.0756%,0.0924,55044,24.2805,2.2424
web,web_21_trace,37.0328950881958,Pass,151.51347088813782,15000054,5899162,2.5427,2614946,21858,0.4433,0.0037,0.8359%,1.4572,2009325,91.9263,133.9545,8000054,4717701,1.6958,1411368,17458,0.2992,0.0037,1.2370%,2.1822,1829945,104.8199,228.7416
web,web_20_trace,91.22524166107178,Pass,158.85742592811584,20000004,10234892,1.9541,3186911,64715,0.3114,0.0063,2.0306%,3.2357,1994862,30.8253,99.7431,10000004,3742007,2.6724,1586755,18369,0.4240,0.0049,1.1576%,1.8369,574485,31.2747,57.4485
web,web_15_trace,61.94837951660156,Pass,120.45519995689392,14999858,7900297,1.8986,2411251,76791,0.3052,0.0097,3.1847%,5.1194,2311235,30.0977,154.0838,7999858,3226886,2.4791,1229867,33777,0.3811,0.0105,2.7464%,4.2222,903897,26.7607,112.9891
web,web_14_trace,235.48800468444824,Pass,615.2002739906311,70000043,19590476,3.5732,11059737,240552,0.5645,0.0123,2.1750%,3.4365,10426694,43.3449,148.9527,35000043,8462936,4.1357,5268168,93551,0.6225,0.0111,1.7758%,2.6729,4088229,43.7005,116.8064
web,web_0_trace,104.021315574646,Pass,347.01345205307007,39999493,20108138,1.9892,11904941,52316,0.5920,0.0026,0.4394%,1.3079,6747062,128.9675,168.6787,20999493,10136110,2.0718,6370198,19767,0.6285,0.0020,0.3103%,0.9413,2678431,135.5001,127.5474
web,web_1_trace,158.93916416168213,Pass,338.20367097854614,39999048,11925845,3.3540,5515292,126086,0.4625,0.0106,2.2861%,3.1522,4377126,34.7154,109.4308,20999048,4907632,4.2789,2909408,66048,0.5928,0.0135,2.2702%,3.1453,1872998,28.3581,89.1944
web,web_18_trace,40.12125015258789,Pass,144.0620150566101,15000059,3882915,3.8631,1853795,39905,0.4774,0.0103,2.1526%,2.6603,1988860,49.8399,132.5901,8000059,1952556,4.0972,994147,19903,0.5092,0.0102,2.0020%,2.4879,998126,50.1495,124.7648
web,web_19_trace,46.80075454711914,Pass,121.70975518226624,15000016,9425841,1.5914,2562002,76286,0.2718,0.0081,2.9776%,5.0857,2350950,30.8176,156.7298,8000016,4285137,1.8669,1380363,49790,0.3221,0.0116,3.6070%,6.2237,1191659,23.9337,148.9571
web,web_12_trace,61.48514461517334,Pass,122.98334908485413,15000009,9156506,1.6382,2254326,57834,0.2462,0.0063,2.5655%,3.8556,1953751,33.7820,130.2500,8000009,4250679,1.8821,1175254,36525,0.2765,0.0086,3.1078%,4.5656,1112002,30.4450,139.0001
web,web_13_trace,134.68522262573242,Pass,394.683397769928,39999813,16825852,2.3773,4813533,116619,0.2861,0.0069,2.4227%,2.9155,3776939,32.3870,94.4239,20999813,7094184,2.9601,2687998,54182,0.3789,0.0076,2.0157%,2.5801,1908201,35.2184,90.8675
web,web_7_trace,41.589111328125,Pass,261.36810421943665,39999850,8206510,4.8742,6633962,172019,0.8084,0.0210,2.5930%,4.3005,3323063,19.3180,83.0769,20999850,3862149,5.4373,3471337,73970,0.8988,0.0192,2.1309%,3.5224,1292931,17.4791,61.5686
web,web_6_trace,115.35440254211426,Pass,330.28441095352173,40000022,12934181,3.0926,6002648,182567,0.4641,0.0141,3.0414%,4.5642,5433749,29.7630,135.8437,20000022,6753103,2.9616,2962421,113319,0.4387,0.0168,3.8252%,5.6659,3340055,29.4748,167.0026
web,web_16_trace,61.720746994018555,Pass,182.65672206878662,20000052,9911666,2.0178,1486259,31624,0.1500,0.0032,2.1278%,1.5812,1189099,37.6012,59.4548,10000052,6898970,1.4495,732871,22149,0.1062,0.0032,3.0222%,2.2149,823538,37.1817,82.3534
web,web_17_trace,54.710463523864746,Pass,121.68520092964172,15000021,6090066,2.4630,2215426,20914,0.3638,0.0034,0.9440%,1.3943,877686,41.9664,58.5123,8000021,2275184,3.5162,1069158,4824,0.4699,0.0021,0.4512%,0.6030,165808,34.3715,20.7259
web,web_3_trace,134.2002592086792,Pass,335.27555799484253,39999981,12058575,3.3171,6018442,143071,0.4991,0.0119,2.3772%,3.5768,4375492,30.5827,109.3874,20999981,5483994,3.8293,3382696,64476,0.6168,0.0118,1.9061%,3.0703,2323822,36.0417,110.6583
web,web_2_trace,126.7424545288086,Pass,349.80180406570435,39999746,11853386,3.3745,5842811,151099,0.4929,0.0127,2.5861%,3.7775,4231966,28.0079,105.7998,20999746,5735061,3.6616,3176039,83270,0.5538,0.0145,2.6218%,3.9653,2475602,29.7298,117.8872
web,web_22_trace,51.9125394821167,Pass,152.34016680717468,20000051,5898276,3.3908,2417352,63610,0.4098,0.0108,2.6314%,3.1805,2884055,45.3396,144.2024,10000051,2606113,3.8372,1222376,29688,0.4690,0.0114,2.4287%,2.9688,1392134,46.8921,139.2127
web,web_23_trace,60.17267894744873,Pass,166.698224067688,20000047,6248821,3.2006,3286069,18863,0.5259,0.0030,0.5740%,0.9431,695822,36.8882,34.7910,10000047,4543002,2.2012,1544231,14593,0.3399,0.0032,0.9450%,1.4593,523217,35.8540,52.3215
web,web_9_trace,113.31267833709717,Pass,343.46566700935364,39999863,13954074,2.8665,6952037,100547,0.4982,0.0072,1.4463%,2.5137,2535896,25.2210,63.3976,20999863,4407697,4.7644,4136031,3080,0.9384,0.0007,0.0745%,0.1467,58171,18.8867,2.7701
web,web_8_trace,110.87185478210449,Pass,330.38785195350647,39999955,13760571,2.9069,6210740,184804,0.4513,0.0134,2.9756%,4.6201,4957544,26.8260,123.9387,20999955,5728465,3.6659,3431526,82943,0.5990,0.0145,2.4171%,3.9497,2137036,25.7651,101.7638
web,web_11_trace,43.46553611755371,Pass,84.739816904068,10001443,11471484,0.8719,1391369,46447,0.1213,0.0040,3.3382%,4.6440,1974061,42.5014,197.3776,5001443,5045010,0.9914,674449,23317,0.1337,0.0046,3.4572%,4.6621,916344,39.2994,183.2159
web,web_10_trace,67.32332420349121,Pass,163.7379789352417,19999796,11045711,1.8106,2621960,56637,0.2374,0.0051,2.1601%,2.8319,1824782,32.2189,91.2400,10999796,3291844,3.3415,1436395,24291,0.4363,0.0074,1.6911%,2.2083,672071,27.6675,61.0985
web,web_4_trace,107.63480854034424,Pass,329.0497531890869,39999718,13103236,3.0527,6265226,161202,0.4781,0.0123,2.5730%,4.0301,4827883,29.9493,120.6979,20999718,6216949,3.3778,3426349,74027,0.5511,0.0119,2.1605%,3.5251,2102706,28.4046,100.1302
web,web_5_trace,119.46124076843262,Pass,318.74770426750183,39999694,12225409,3.2718,6198022,172828,0.5070,0.0141,2.7884%,4.3207,4569925,26.4420,114.2490,20999694,6343156,3.3106,3330435,102494,0.5250,0.0162,3.0775%,4.8807,2629182,25.6521,125.2010
web,web_25_trace,46.08135795593262,Pass,121.76244926452637,14999989,7232110,2.0741,2548670,86101,0.3524,0.0119,3.3783%,5.7401,2986331,34.6840,199.0889,7999989,2965948,2.6973,1342253,51242,0.4526,0.0173,3.8176%,6.4053,1725638,33.6762,215.7050
web,web_24_trace,80.5669527053833,Pass,129.57045078277588,14999923,8309066,1.8052,1985890,24102,0.2390,0.0029,1.2137%,1.6068,778732,32.3098,51.9157,7999923,3984287,2.0079,1067447,11755,0.2679,0.0030,1.1012%,1.4694,363735,30.9430,45.4673
fp,fp_9_trace,143.53112411499023,Pass,442.3593559265137,40000016,16111749,2.4827,5012816,163134,0.3111,0.0101,3.2543%,4.0783,11252988,68.9800,281.3246,20000016,7665587,2.6091,2500178,86192,0.3262,0.0112,3.4474%,4.3096,5322396,61.7505,266.1196
fp,fp_8_trace,211.10272789001465,Pass,426.53496170043945,40000016,10785121,3.7088,2322129,147500,0.2153,0.0137,6.3519%,3.6875,4624569,31.3530,115.6142,20000016,5644541,3.5432,1347173,101477,0.2387,0.0180,7.5326%,5.0738,3173260,31.2707,158.6629
fp,fp_3_trace,223.02585411071777,Pass,349.6206829547882,30000052,12652691,2.3710,1539997,54698,0.1217,0.0043,3.5518%,1.8233,6494551,118.7347,216.4847,15000052,6310653,2.3769,770204,27713,0.1220,0.0044,3.5981%,1.8475,3283934,118.4980,218.9282
fp,fp_2_trace,113.98153591156006,Pass,298.03212213516235,30000052,6142445,4.8841,2471756,72734,0.4024,0.0118,2.9426%,2.4245,2619506,36.0149,87.3167,15000052,3025568,4.9578,1232306,36837,0.4073,0.0122,2.9893%,2.4558,1311156,35.5935,87.4101
fp,fp_4_trace,106.30326175689697,Pass,298.9217097759247,30000052,6439055,4.6591,2573337,15356,0.3996,0.0024,0.5967%,0.5119,872534,56.8204,29.0844,15000052,2602061,5.7647,1285217,6226,0.4939,0.0024,0.4844%,0.4151,274117,44.0278,18.2744
