trace_name,predictor_name,MPKI,miss_rate,IPC,Cycles
int_1_trace,ball-fun,9.2211,5.2184%,1.7008,17638740
int_0_trace,ball-fun,5.1331,3.2993%,2.7211,14700192
int_14_trace,ball-fun,0.3952,0.2070%,5.7221,6990371
media_0_trace,ball-fun,1.1819,2.1012%,5.9086,3384901
media_2_trace,ball-fun,0.5226,1.5320%,6.4419,3104667
int_12_trace,ball-fun,0.4582,0.4325%,3.2512,18454419
media_1_trace,ball-fun,1.1588,2.2028%,5.588,3579081
int_20_trace,ball-fun,2.76,1.7320%,3.4671,17305514
int_36_trace,ball-fun,3.9779,2.7577%,1.5104,35594971
int_15_trace,ball-fun,0.4797,0.3653%,3.7826,18505639
int_11_trace,Baseline,4.2059,6.1095%,3.6219,16565909
int_10_trace,Baseline,0.5363,0.4576%,6.2024,9673683
infra_7_trace,Baseline,1.4983,0.8923%,1.8298,21860677
infra_6_trace,Baseline,1.2642,0.8905%,4.2029,15398661
compress_3_trace,Baseline,8.2499,6.8299%,2.174,59797903
compress_2_trace,Baseline,1.4826,1.3314%,4.8703,6640048
web_21_trace,Baseline,1.7274,0.9909%,2.5087,5979248
web_20_trace,Baseline,4.218,2.6471%,1.8828,10622365
int_5_trace,Baseline,2.855,3.3392%,4.5103,6651431
int_4_trace,Baseline,4.1379,3.2311%,4.3386,13829330
web_15_trace,Baseline,6.1054,3.7980%,1.8357,8171185
web_14_trace,Baseline,3.6627,2.3182%,3.5309,19825074
web_0_trace,Baseline,1.3961,0.4691%,2.0176,19824864
web_1_trace,Baseline,3.5186,2.5519%,3.2816,12188839
int_25_trace,Baseline,1.3243,1.9148%,5.2067,7682478
int_24_trace,Baseline,0.5662,0.2701%,2.7443,14575551
fp_9_trace,Baseline,4.5518,3.6322%,2.3941,16707684
fp_8_trace,Baseline,7.8738,13.5631%,3.0273,13212988
fp_3_trace,Baseline,2.0315,3.9575%,2.3448,12794203
fp_2_trace,Baseline,2.5615,3.1089%,4.8269,6215210
int_32_trace,Baseline,6.9551,6.0546%,1.2745,86305978
int_33_trace,Baseline,7.9877,5.4702%,2.0288,54219198
fp_4_trace,Baseline,0.5736,0.6687%,4.5872,6539941
fp_5_trace,Baseline,0.9364,5.0589%,5.2855,7567836
int_35_trace,Baseline,2.4647,1.7382%,3.4767,11505122
int_34_trace,Baseline,3.0703,1.9249%,3.5795,11174604
web_18_trace,Baseline,2.8461,2.3029%,3.7811,3967093
web_19_trace,Baseline,6.0075,3.5173%,1.5451,9708057
fp_13_trace,Baseline,12.6898,7.8644%,2.6157,15292133
fp_12_trace,Baseline,1.2157,1.1001%,4.9286,8115976
int_16_trace,Baseline,8.1253,4.8267%,2.105,19002465
int_17_trace,Baseline,6.3949,3.8408%,2.4057,16627232
infra_0_trace,Baseline,1.2832,0.9984%,4.5201,8849295
infra_1_trace,Baseline,0.3574,0.3114%,4.6162,8188465
compress_4_trace,Baseline,1.8228,1.6245%,4.736,6579572
compress_5_trace,Baseline,1.9322,1.6792%,4.8355,6992420
int_28_trace,Baseline,3.6745,3.6688%,4.7283,8459793
int_29_trace,Baseline,12.4572,12.3069%,2.5082,15947770
int_2_trace,Baseline,10.9652,6.1300%,1.5895,18874188
int_3_trace,Baseline,0.8818,0.7468%,5.6607,7066304
web_12_trace,Baseline,4.4363,2.9519%,1.6057,9341910
web_13_trace,Baseline,3.3938,2.8202%,2.3259,17197650
web_7_trace,Baseline,7.7526,4.6745%,3.8279,10449578
web_6_trace,Baseline,4.8893,3.2581%,3.0317,13193899
media_3_trace,Baseline,1.3813,2.4439%,5.6766,3523269
media_2_trace,Baseline,0.5317,1.5587%,6.4394,3105888
infra_11_trace,Baseline,1.0885,0.7018%,2.7221,18368522
int_8_trace,Baseline,7.1931,5.0665%,2.4495,16330173
infra_10_trace,Baseline,5.3543,4.0884%,2.7142,18421599
int_9_trace,Baseline,4.8555,3.3481%,2.7893,14340761
int_22_trace,Baseline,5.3965,3.2353%,1.7294,23128965
int_23_trace,Baseline,3.4824,2.6139%,2.1613,18507313
fp_0_trace,Baseline,3.227,5.9765%,4.4074,6806762
fp_1_trace,Baseline,15.5816,7.8552%,0.9861,30423720
int_31_trace,Baseline,0.8411,0.7048%,8.5144,4697945
int_30_trace,Baseline,12.9427,12.2684%,2.4538,16300972
web_16_trace,Baseline,1.8538,2.4946%,1.994,10030330
web_17_trace,Baseline,1.7267,1.1691%,2.4182,6203005
int_18_trace,Baseline,0.8474,0.3584%,3.6986,10814890
int_19_trace,Baseline,0.8482,0.5797%,4.9863,8021952
infra_15_trace,Baseline,8.4547,6.0760%,1.454,34389055
infra_14_trace,Baseline,5.4033,4.1332%,2.7868,17941983
web_3_trace,Baseline,3.979,2.6445%,3.2353,12363767
web_2_trace,Baseline,4.166,2.8520%,3.2887,12162743
int_26_trace,Baseline,1.3377,2.5115%,5.868,6816682
int_27_trace,Baseline,0.8728,1.8459%,6.2755,6374047
int_12_trace,Baseline,0.4566,0.4310%,3.2512,18454516
int_13_trace,Baseline,0.9248,0.8716%,6.4124,6237898
infra_4_trace,Baseline,2.479,1.6560%,1.6698,23955251
infra_5_trace,Baseline,2.2119,1.2173%,1.1596,34494956
compress_0_trace,Baseline,3.2681,3.3382%,4.709,25483005
compress_1_trace,Baseline,1.6834,1.5631%,4.6962,6554021
web_22_trace,Baseline,3.3895,2.8043%,3.3212,6022013
web_23_trace,Baseline,1.1539,0.7023%,3.1548,6339599
web_9_trace,Baseline,2.9326,1.6873%,2.8064,14253065
web_8_trace,Baseline,5.1087,3.2903%,2.8338,14115315
int_6_trace,Baseline,2.9584,2.8446%,3.9401,7614002
int_7_trace,Baseline,5.7589,3.8754%,2.7131,14743504
infra_9_trace,Baseline,4.5907,3.1866%,1.7178,29107563
infra_8_trace,Baseline,1.2568,0.6738%,1.6282,24567609
web_11_trace,Baseline,5.7895,4.1616%,0.8555,11690760
web_10_trace,Baseline,3.366,2.5675%,1.7771,11254432
web_4_trace,Baseline,4.4385,2.8337%,2.9772,13435257
web_5_trace,Baseline,4.7119,3.0409%,3.1982,12506945
media_0_trace,Baseline,1.1764,2.0913%,5.9117,3383121
media_1_trace,Baseline,1.159,2.2031%,5.5872,3579648
infra_12_trace,Baseline,1.0706,0.6808%,2.8465,17565210
infra_13_trace,Baseline,4.2404,3.2456%,2.4332,20549472
int_21_trace,Baseline,24.1502,10.6633%,0.8614,46437161
int_20_trace,Baseline,2.7912,1.7515%,3.4631,17325628
int_15_trace,Baseline,0.4788,0.3646%,3.7827,18505236
int_14_trace,Baseline,0.3966,0.2078%,5.7221,6990422
infra_3_trace,Baseline,1.0632,0.7828%,4.958,8067704
infra_2_trace,Baseline,0.4838,0.3953%,4.4709,10634682
fp_10_trace,Baseline,2.1174,2.4252%,5.7916,6906521
fp_11_trace,Baseline,0.6989,0.7927%,5.2504,7618526
web_25_trace,Baseline,6.3793,3.7545%,2.0175,7434913
web_24_trace,Baseline,2.0456,1.5451%,1.7766,8442950
compress_7_trace,Baseline,2.048,1.7699%,5.4157,24004499
compress_6_trace,Baseline,1.9036,1.6565%,4.8274,7007211
int_1_trace,Baseline,11.6458,6.5906%,1.5926,18836926
int_0_trace,Baseline,5.1327,3.2991%,2.7209,14701131
fp_7_trace,Baseline,1.1277,0.9564%,5.075,7881807
fp_6_trace,Baseline,1.0193,0.5796%,6.8423,5845956
int_36_trace,Baseline,3.9821,2.7605%,1.5109,35582808
compress_1_trace,bulleseye-predictor,1.6515,1.5335%,4.7093,6535680
compress_4_trace,bulleseye-predictor,1.7948,1.5995%,4.7475,6563668
compress_2_trace,bulleseye-predictor,1.457,1.3083%,4.8806,6626013
compress_5_trace,bulleseye-predictor,1.898,1.6495%,4.8483,6974016
compress_6_trace,bulleseye-predictor,1.8737,1.6305%,4.8376,6992371
infra_1_trace,bulleseye-predictor,0.3399,0.2962%,4.6209,8180169
infra_0_trace,bulleseye-predictor,1.2549,0.9765%,4.5309,8828186
infra_7_trace,bulleseye-predictor,1.4282,0.8505%,1.8416,21719841
infra_6_trace,bulleseye-predictor,1.208,0.8509%,4.2247,15319103
infra_4_trace,bulleseye-predictor,2.4276,1.6216%,1.6746,23885916
infra_11_trace,bulleseye-predictor,0.9969,0.6428%,2.7418,18236456
infra_10_trace,bulleseye-predictor,5.2366,3.9985%,2.7294,18319028
infra_15_trace,bulleseye-predictor,8.3568,6.0056%,1.4566,34325841
infra_14_trace,bulleseye-predictor,5.2881,4.0451%,2.8037,17833382
infra_8_trace,bulleseye-predictor,1.2493,0.6699%,1.6299,24540909
infra_5_trace,bulleseye-predictor,2.199,1.2102%,1.1615,34436916
infra_9_trace,bulleseye-predictor,4.5315,3.1454%,1.7153,29148635
web_21_trace,bulleseye-predictor,1.5025,0.8619%,2.5419,5901074
web_15_trace,bulleseye-predictor,5.1,3.1726%,1.8996,7896424
web_20_trace,bulleseye-predictor,3.2389,2.0327%,1.9545,10232554
compress_0_trace,bulleseye-predictor,3.227,3.2963%,4.7213,25416570
web_18_trace,bulleseye-predictor,2.7449,2.2210%,3.8223,3924393
infra_12_trace,bulleseye-predictor,0.9772,0.6215%,2.8675,17436675
compress_3_trace,bulleseye-predictor,8.1241,6.7258%,2.1829,59554980
web_19_trace,bulleseye-predictor,5.0903,2.9802%,1.5897,9436047
infra_3_trace,bulleseye-predictor,1.0277,0.7566%,4.9737,8042374
web_12_trace,bulleseye-predictor,3.8667,2.5728%,1.6387,9153431
infra_13_trace,bulleseye-predictor,4.0788,3.1220%,2.4546,20369983
compress_7_trace,bulleseye-predictor,2.0403,1.7633%,5.4194,23987983
web_17_trace,bulleseye-predictor,1.4167,0.9592%,2.4585,6101403
web_0_trace,bulleseye-predictor,1.3081,0.4395%,2.038,19626491
web_1_trace,bulleseye-predictor,3.2294,2.3421%,3.3401,11975496
web_16_trace,bulleseye-predictor,1.5849,2.1327%,2.0173,9914452
web_22_trace,bulleseye-predictor,3.2539,2.6921%,3.36,5952365
web_7_trace,bulleseye-predictor,6.2471,3.7667%,4.2253,9466681
web_11_trace,bulleseye-predictor,4.6089,3.3130%,0.8742,11441023
web_14_trace,bulleseye-predictor,3.598,2.2773%,3.5465,19737747
web_13_trace,bulleseye-predictor,2.9499,2.4513%,2.3748,16843355
web_23_trace,bulleseye-predictor,0.9654,0.5876%,3.193,6263749
infra_2_trace,bulleseye-predictor,0.4135,0.3379%,4.4959,10575547
web_6_trace,bulleseye-predictor,4.6074,3.0702%,3.0841,12969695
web_3_trace,bulleseye-predictor,3.59,2.3860%,3.3122,12076473
web_10_trace,bulleseye-predictor,2.8169,2.1487%,1.8124,11035037
web_2_trace,bulleseye-predictor,3.7911,2.5954%,3.371,11865669
web_25_trace,bulleseye-predictor,5.8386,3.4363%,2.0666,7258399
web_24_trace,bulleseye-predictor,1.6661,1.2584%,1.8032,8318596
web_8_trace,bulleseye-predictor,4.6136,2.9714%,2.9066,13761659
web_9_trace,bulleseye-predictor,2.4984,1.4375%,2.8673,13950260
web_4_trace,bulleseye-predictor,4.0569,2.5901%,3.0454,13134347
web_5_trace,bulleseye-predictor,4.3019,2.7763%,3.2769,12206459
fp_2_trace,bulleseye-predictor,2.5453,3.0893%,4.8351,6204632
fp_3_trace,bulleseye-predictor,1.9455,3.7899%,2.3644,12688273
fp_4_trace,bulleseye-predictor,0.5749,0.6703%,4.5775,6553801
fp_1_trace,bulleseye-predictor,15.5798,7.8543%,0.9851,30454265
fp_0_trace,bulleseye-predictor,3.2262,5.9750%,4.4079,6805947
fp_8_trace,bulleseye-predictor,7.4114,12.7666%,3.1154,12839555
fp_13_trace,bulleseye-predictor,12.4478,7.7144%,2.6423,15138081
fp_9_trace,bulleseye-predictor,4.2942,3.4266%,2.4384,16404367
fp_12_trace,bulleseye-predictor,0.8206,0.7426%,5.1331,7792493
fp_5_trace,bulleseye-predictor,0.9329,5.0399%,5.2855,7567814
fp_6_trace,bulleseye-predictor,0.9236,0.5252%,6.9617,5745745
fp_10_trace,bulleseye-predictor,1.9399,2.2219%,5.8909,6790190
int_5_trace,bulleseye-predictor,2.838,3.3193%,4.5219,6634349
fp_11_trace,bulleseye-predictor,0.5791,0.6568%,5.308,7535845
int_25_trace,bulleseye-predictor,1.3181,1.9058%,5.2113,7675635
int_24_trace,bulleseye-predictor,0.4986,0.2379%,2.7491,14550300
fp_7_trace,bulleseye-predictor,1.0289,0.8725%,5.1574,7755882
int_11_trace,bulleseye-predictor,4.0919,5.9439%,3.6583,16401050
int_10_trace,bulleseye-predictor,0.5155,0.4398%,6.2199,9646393
int_4_trace,bulleseye-predictor,3.8634,3.0167%,4.4297,13544816
int_35_trace,bulleseye-predictor,2.2559,1.5910%,3.5193,11366014
int_34_trace,bulleseye-predictor,2.9654,1.8591%,3.6037,11099629
int_2_trace,bulleseye-predictor,9.8611,5.5128%,1.6348,18351011
int_16_trace,bulleseye-predictor,5.6722,3.3695%,2.3149,17279100
int_17_trace,bulleseye-predictor,4.7592,2.8584%,2.5907,15440073
int_28_trace,bulleseye-predictor,3.4213,3.4160%,4.8135,8309945
int_29_trace,bulleseye-predictor,11.8209,11.6783%,2.5777,15517764
int_3_trace,bulleseye-predictor,0.8217,0.6960%,5.7009,7016494
int_8_trace,bulleseye-predictor,5.8786,4.1407%,2.5967,15404333
int_9_trace,bulleseye-predictor,3.7132,2.5604%,2.9617,13505810
int_32_trace,bulleseye-predictor,6.7235,5.8530%,1.2828,85746902
int_22_trace,bulleseye-predictor,3.9788,2.3854%,1.8511,21608901
int_23_trace,bulleseye-predictor,3.4248,2.5706%,2.1632,18491018
int_31_trace,bulleseye-predictor,0.6936,0.5812%,8.7128,4590950
int_30_trace,bulleseye-predictor,12.2596,11.6208%,2.5253,15839790
int_33_trace,bulleseye-predictor,7.7135,5.2824%,2.0474,53726999
int_18_trace,bulleseye-predictor,0.7174,0.3034%,3.744,10683844
int_19_trace,bulleseye-predictor,0.7603,0.5196%,5.0323,7948731
int_26_trace,bulleseye-predictor,1.2644,2.3739%,5.9037,6775414
int_13_trace,bulleseye-predictor,0.7048,0.6643%,6.6344,6029170
int_6_trace,bulleseye-predictor,2.9258,2.8133%,3.9509,7593272
int_27_trace,bulleseye-predictor,0.8212,1.7368%,6.3049,6344266
int_21_trace,bulleseye-predictor,23.759,10.4906%,0.8803,45441551
int_1_trace,bulleseye-predictor,10.3681,5.8675%,1.651,18171032
int_7_trace,bulleseye-predictor,4.4556,2.9983%,2.8984,13800694
int_14_trace,bulleseye-predictor,0.3815,0.1999%,5.7304,6980280
int_0_trace,bulleseye-predictor,5.0702,3.2589%,2.7332,14635013
media_3_trace,bulleseye-predictor,1.2893,2.2811%,5.7259,3492908
media_0_trace,bulleseye-predictor,1.0855,1.9297%,5.968,3351187
media_2_trace,bulleseye-predictor,0.5282,1.5483%,6.4466,3102399
int_12_trace,bulleseye-predictor,0.4313,0.4071%,3.258,18416157
media_1_trace,bulleseye-predictor,1.0785,2.0501%,5.623,3556814
int_20_trace,bulleseye-predictor,2.3513,1.4755%,3.5782,16768447
int_36_trace,bulleseye-predictor,2.9622,2.0535%,1.561,34441518
int_15_trace,bulleseye-predictor,0.4719,0.3593%,3.7844,18496863
