pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
ball-fun,baseline,int_30_trace,12.7675,12.9427,-0.17520000000000024
ball-fun,baseline,int_26_trace,1.3413,1.3377,0.0036000000000000476
ball-fun,baseline,int_18_trace,0.8395,0.8474,-0.007900000000000018
ball-fun,baseline,int_19_trace,0.6642,0.8482,-0.18399999999999994
ball-fun,baseline,int_27_trace,0.8656,0.8728,-0.007199999999999984
ball-fun,baseline,int_6_trace,2.9626,2.9584,0.0041999999999999815
ball-fun,baseline,int_13_trace,0.9185,0.9248,-0.006299999999999972
ball-fun,baseline,int_21_trace,15.7181,24.1502,-8.432100000000002
ball-fun,baseline,int_7_trace,5.7956,5.7589,0.03670000000000062
ball-fun,baseline,media_3_trace,1.4012,1.3813,0.01990000000000003
ball-fun,baseline,int_1_trace,9.2211,11.6458,-2.4246999999999996
ball-fun,baseline,int_0_trace,5.1331,5.1327,0.00039999999999995595
ball-fun,baseline,int_14_trace,0.3952,0.3966,-0.0014000000000000123
ball-fun,baseline,media_0_trace,1.1819,1.1764,0.00550000000000006
ball-fun,baseline,media_2_trace,0.5226,0.5317,-0.009099999999999997
ball-fun,baseline,int_12_trace,0.4582,0.4566,0.0015999999999999903
ball-fun,baseline,media_1_trace,1.1588,1.159,-0.00019999999999997797
ball-fun,baseline,int_20_trace,2.76,2.7912,-0.031200000000000117
ball-fun,baseline,int_36_trace,3.9779,3.9821,-0.0041999999999999815
ball-fun,baseline,int_15_trace,0.4797,0.4788,0.0009000000000000119
ball-fun,bulleseye-predictor,compress_4_trace,1.825,1.7948,0.030200000000000005
ball-fun,bulleseye-predictor,compress_1_trace,1.6841,1.6515,0.03259999999999996
ball-fun,bulleseye-predictor,compress_2_trace,1.4847,1.457,0.027699999999999836
ball-fun,bulleseye-predictor,compress_6_trace,1.8941,1.8737,0.020399999999999974
ball-fun,bulleseye-predictor,compress_5_trace,1.9284,1.898,0.030399999999999983
ball-fun,bulleseye-predictor,infra_7_trace,1.4967,1.4282,0.0685
ball-fun,bulleseye-predictor,infra_1_trace,0.3581,0.3399,0.018199999999999994
ball-fun,bulleseye-predictor,infra_0_trace,1.2782,1.2549,0.0233000000000001
ball-fun,bulleseye-predictor,infra_6_trace,1.2615,1.208,0.0535000000000001
ball-fun,bulleseye-predictor,infra_4_trace,2.4586,2.4276,0.03100000000000014
ball-fun,bulleseye-predictor,infra_10_trace,5.369,5.2366,0.13239999999999963
ball-fun,bulleseye-predictor,infra_11_trace,1.0839,0.9969,0.08700000000000008
ball-fun,bulleseye-predictor,infra_15_trace,8.4791,8.3568,0.12230000000000096
ball-fun,bulleseye-predictor,infra_14_trace,5.4178,5.2881,0.1296999999999997
ball-fun,bulleseye-predictor,infra_5_trace,2.2115,2.199,0.012500000000000178
ball-fun,bulleseye-predictor,infra_8_trace,1.2565,1.2493,0.007199999999999873
ball-fun,bulleseye-predictor,infra_9_trace,4.5987,4.5315,0.0671999999999997
ball-fun,bulleseye-predictor,web_21_trace,1.7327,1.5025,0.23019999999999996
ball-fun,bulleseye-predictor,compress_0_trace,3.2696,3.227,0.04260000000000019
ball-fun,bulleseye-predictor,web_15_trace,6.0736,5.1,0.9736000000000002
ball-fun,bulleseye-predictor,web_20_trace,4.2048,3.2389,0.9658999999999995
ball-fun,bulleseye-predictor,compress_3_trace,8.231,8.1241,0.10689999999999955
ball-fun,bulleseye-predictor,web_18_trace,2.8365,2.7449,0.09160000000000013
ball-fun,bulleseye-predictor,web_19_trace,6.0246,5.0903,0.9343000000000004
ball-fun,bulleseye-predictor,web_12_trace,4.4179,3.8667,0.5512000000000006
ball-fun,bulleseye-predictor,infra_12_trace,1.0757,0.9772,0.09850000000000014
ball-fun,bulleseye-predictor,infra_3_trace,1.0538,1.0277,0.026100000000000012
ball-fun,bulleseye-predictor,infra_13_trace,4.2496,4.0788,0.17079999999999984
ball-fun,bulleseye-predictor,compress_7_trace,2.0491,2.0403,0.008800000000000363
ball-fun,bulleseye-predictor,web_17_trace,1.7308,1.4167,0.3140999999999998
ball-fun,bulleseye-predictor,web_0_trace,1.4009,1.3081,0.0928
ball-fun,bulleseye-predictor,web_1_trace,3.5288,3.2294,0.2993999999999999
ball-fun,bulleseye-predictor,web_16_trace,1.8571,1.5849,0.2722
ball-fun,bulleseye-predictor,web_7_trace,7.7208,6.2471,1.4737
ball-fun,bulleseye-predictor,web_22_trace,3.3822,3.2539,0.1283000000000003
ball-fun,bulleseye-predictor,web_11_trace,5.7855,4.6089,1.1765999999999996
ball-fun,bulleseye-predictor,web_23_trace,1.1653,0.9654,0.19989999999999997
ball-fun,bulleseye-predictor,web_13_trace,3.3888,2.9499,0.43889999999999985
ball-fun,bulleseye-predictor,web_14_trace,3.6703,3.598,0.07230000000000025
ball-fun,bulleseye-predictor,web_6_trace,4.9189,4.6074,0.31149999999999967
ball-fun,bulleseye-predictor,web_3_trace,3.947,3.59,0.3570000000000002
ball-fun,bulleseye-predictor,web_10_trace,3.3555,2.8169,0.5386000000000002
ball-fun,bulleseye-predictor,web_25_trace,6.3681,5.8386,0.5295000000000005
ball-fun,bulleseye-predictor,web_2_trace,4.1788,3.7911,0.3876999999999997
ball-fun,bulleseye-predictor,web_24_trace,2.049,1.6661,0.3829
ball-fun,bulleseye-predictor,infra_2_trace,0.4876,0.4135,0.0741
ball-fun,bulleseye-predictor,web_9_trace,2.9333,2.4984,0.43489999999999984
ball-fun,bulleseye-predictor,web_8_trace,5.1003,4.6136,0.4866999999999999
ball-fun,bulleseye-predictor,web_5_trace,4.6806,4.3019,0.37870000000000026
ball-fun,bulleseye-predictor,web_4_trace,4.4589,4.0569,0.40200000000000014
ball-fun,bulleseye-predictor,fp_2_trace,2.5588,2.5453,0.013500000000000068
ball-fun,bulleseye-predictor,fp_0_trace,3.227,3.2262,0.0007999999999999119
ball-fun,bulleseye-predictor,fp_1_trace,15.5816,15.5798,0.0017999999999993577
ball-fun,bulleseye-predictor,fp_3_trace,2.0208,1.9455,0.07529999999999992
ball-fun,bulleseye-predictor,fp_4_trace,0.5742,0.5749,-0.0006999999999999229
ball-fun,bulleseye-predictor,fp_9_trace,4.5477,4.2942,0.25349999999999984
ball-fun,bulleseye-predictor,fp_13_trace,8.9772,12.4478,-3.470600000000001
ball-fun,bulleseye-predictor,fp_8_trace,5.2985,7.4114,-2.1129000000000007
ball-fun,bulleseye-predictor,fp_12_trace,1.214,0.8206,0.39339999999999997
