pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
Baseline,LVCP,web_10_trace,3.366,2.8788,0.4872000000000001
Baseline,LVCP,web_4_trace,4.4385,4.0909,0.3475999999999999
Baseline,LVCP,web_5_trace,4.7119,4.32,0.3918999999999997
Baseline,LVCP,media_0_trace,1.1764,1.1808,-0.0044000000000001815
Baseline,LVCP,media_1_trace,1.159,1.1521,0.006900000000000128
Baseline,LVCP,infra_12_trace,1.0706,0.9932,0.07740000000000002
Baseline,LVCP,infra_13_trace,4.2404,4.0586,0.18179999999999996
Baseline,LVCP,int_21_trace,24.1502,23.5688,0.5814000000000021
Baseline,LVCP,int_20_trace,2.7912,2.358,0.4331999999999998
Baseline,LVCP,int_15_trace,0.4788,0.4652,0.013600000000000001
Baseline,LVCP,int_14_trace,0.3966,0.3692,0.027400000000000035
Baseline,LVCP,infra_3_trace,1.0632,0.8049,0.2583
Baseline,LVCP,infra_2_trace,0.4838,0.4288,0.05499999999999999
Baseline,LVCP,fp_10_trace,2.1174,1.9704,0.14700000000000002
Baseline,LVCP,fp_11_trace,0.6989,0.6056,0.09329999999999994
Baseline,LVCP,web_25_trace,6.3793,5.8123,0.5670000000000002
Baseline,LVCP,web_24_trace,2.0456,1.7205,0.32509999999999994
Baseline,LVCP,compress_7_trace,2.048,1.9181,0.12990000000000013
Baseline,LVCP,compress_6_trace,1.9036,1.8222,0.08139999999999992
Baseline,LVCP,int_1_trace,11.6458,10.6773,0.9684999999999988
Baseline,LVCP,int_0_trace,5.1327,4.6538,0.47889999999999944
Baseline,LVCP,fp_7_trace,1.1277,1.037,0.0907
Baseline,LVCP,fp_6_trace,1.0193,0.979,0.040300000000000114
Baseline,LVCP,int_36_trace,3.9821,2.9848,0.9973000000000001
Baseline,RVA-Toru,int_11_trace,4.2059,3.8873,0.31859999999999955
Baseline,RVA-Toru,int_10_trace,0.5363,0.4966,0.03970000000000001
Baseline,RVA-Toru,infra_7_trace,1.4983,1.1914,0.30689999999999995
Baseline,RVA-Toru,infra_6_trace,1.2642,1.1585,0.1056999999999999
Baseline,RVA-Toru,compress_3_trace,8.2499,7.6547,0.5952000000000002
Baseline,RVA-Toru,compress_2_trace,1.4826,1.3543,0.12829999999999986
Baseline,RVA-Toru,web_21_trace,1.7274,1.4572,0.2702
Baseline,RVA-Toru,web_20_trace,4.218,3.2357,0.9823
Baseline,RVA-Toru,int_5_trace,2.855,2.7058,0.1492
Baseline,RVA-Toru,int_4_trace,4.1379,3.593,0.5449000000000002
Baseline,RVA-Toru,web_15_trace,6.1054,5.1194,0.9860000000000007
Baseline,RVA-Toru,web_14_trace,3.6627,3.4365,0.22619999999999996
Baseline,RVA-Toru,web_0_trace,1.3961,1.3079,0.08819999999999983
Baseline,RVA-Toru,web_1_trace,3.5186,3.1522,0.36640000000000006
Baseline,RVA-Toru,int_25_trace,1.3243,1.3232,0.001100000000000101
Baseline,RVA-Toru,int_24_trace,0.5662,0.5127,0.05349999999999999
Baseline,RVA-Toru,fp_9_trace,4.5518,4.0783,0.4735000000000005
Baseline,RVA-Toru,fp_8_trace,7.8738,3.6875,4.1863
Baseline,RVA-Toru,fp_3_trace,2.0315,1.8233,0.20819999999999994
Baseline,RVA-Toru,fp_2_trace,2.5615,2.4245,0.137
Baseline,RVA-Toru,int_32_trace,6.9551,6.3313,0.6238000000000001
Baseline,RVA-Toru,int_33_trace,7.9877,7.2565,0.7312000000000003
Baseline,RVA-Toru,fp_4_trace,0.5736,0.5119,0.06169999999999998
Baseline,RVA-Toru,fp_5_trace,0.9364,0.925,0.011399999999999966
Baseline,RVA-Toru,int_35_trace,2.4647,2.0515,0.41320000000000023
Baseline,RVA-Toru,int_34_trace,3.0703,2.7686,0.30169999999999986
Baseline,RVA-Toru,web_18_trace,2.8461,2.6603,0.18579999999999997
Baseline,RVA-Toru,web_19_trace,6.0075,5.0857,0.9218000000000002
Baseline,RVA-Toru,fp_13_trace,12.6898,12.2224,0.4673999999999996
Baseline,RVA-Toru,fp_12_trace,1.2157,1.0294,0.1862999999999999
Baseline,RVA-Toru,int_16_trace,8.1253,5.7002,2.4250999999999996
Baseline,RVA-Toru,int_17_trace,6.3949,4.7567,1.6381999999999994
Baseline,RVA-Toru,infra_0_trace,1.2832,0.9098,0.37339999999999984
Baseline,RVA-Toru,infra_1_trace,0.3574,0.2954,0.062
Baseline,RVA-Toru,compress_4_trace,1.8228,1.6297,0.19310000000000005
Baseline,RVA-Toru,compress_5_trace,1.9322,1.7338,0.1983999999999999
Baseline,RVA-Toru,int_28_trace,3.6745,3.2288,0.4457
Baseline,RVA-Toru,int_29_trace,12.4572,11.4097,1.0474999999999994
Baseline,RVA-Toru,int_2_trace,10.9652,9.2321,1.7330999999999985
Baseline,RVA-Toru,int_3_trace,0.8818,0.776,0.1058
Baseline,RVA-Toru,web_12_trace,4.4363,3.8556,0.5807000000000002
Baseline,RVA-Toru,web_13_trace,3.3938,2.9155,0.47829999999999995
Baseline,RVA-Toru,web_7_trace,7.7526,4.3005,3.4520999999999997
Baseline,RVA-Toru,web_6_trace,4.8893,4.5642,0.32510000000000083
Baseline,RVA-Toru,media_3_trace,1.3813,1.2256,0.15569999999999995
Baseline,RVA-Toru,media_2_trace,0.5317,0.5058,0.025899999999999923
Baseline,RVA-Toru,infra_11_trace,1.0885,0.9728,0.11570000000000003
Baseline,RVA-Toru,int_8_trace,7.1931,5.7914,1.4017
Baseline,RVA-Toru,infra_10_trace,5.3543,5.0157,0.33860000000000046
