Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_25_trace,46.08135795593262,Pass,137.0715742111206,14999989,7266219,2.0643,2548670,87560,0.3508,0.0121,3.4355%,5.8373,3021006,34.5021,201.4005,7999989,2974340,2.6897,1342253,52021,0.4513,0.0175,3.8756%,6.5026,1734650,33.3452,216.8315
web,web_24_trace,80.5669527053833,Pass,143.40510821342468,14999923,8323389,1.8021,1985890,25015,0.2386,0.0030,1.2596%,1.6677,795916,31.8175,53.0613,7999923,3979812,2.0101,1067447,11745,0.2682,0.0030,1.1003%,1.4681,357252,30.4174,44.6569
fp,fp_9_trace,143.53112411499023,Pass,498.2184998989105,40000016,16398952,2.4392,5012816,171758,0.3057,0.0105,3.4264%,4.2939,11557470,67.2893,288.9366,20000016,7842116,2.5503,2500178,92024,0.3188,0.0117,3.6807%,4.6012,5510266,59.8786,275.5131
fp,fp_8_trace,211.10272789001465,Pass,479.919842004776,40000016,12968258,3.0845,2322129,303588,0.1791,0.0234,13.0737%,7.5897,6918175,22.7880,172.9543,20000016,7210593,2.7737,1347173,213857,0.1868,0.0297,15.8745%,10.6928,4816741,22.5232,240.8369
fp,fp_3_trace,223.02585411071777,Pass,393.72339606285095,30000052,12577529,2.3852,1539997,54342,0.1224,0.0043,3.5287%,1.8114,6293131,115.8060,209.7707,15000052,6291147,2.3843,770204,27940,0.1224,0.0044,3.6276%,1.8627,3201970,114.6016,213.4639
fp,fp_2_trace,113.98153591156006,Pass,344.4954490661621,30000052,6144694,4.8823,2471756,73843,0.4023,0.0120,2.9875%,2.4614,2621272,35.4979,87.3756,15000052,3027737,4.9542,1232306,37520,0.4070,0.0124,3.0447%,2.5013,1312798,34.9893,87.5196
fp,fp_4_trace,106.30326175689697,Pass,336.1558768749237,30000052,6521378,4.6003,2573337,17088,0.3946,0.0026,0.6640%,0.5696,989880,57.9284,32.9959,15000052,2604695,5.7589,1285217,6308,0.4934,0.0024,0.4908%,0.4205,278636,44.1718,18.5757
fp,fp_5_trace,332.9483413696289,Pass,570.8436529636383,40000016,7558666,5.2919,740391,36848,0.0980,0.0049,4.9768%,0.9212,1271388,34.5036,31.7847,20000016,3744865,5.3407,370890,18365,0.0990,0.0049,4.9516%,0.9182,635540,34.6060,31.7770
fp,fp_13_trace,84.63656806945801,Pass,376.8111369609833,40000016,14963049,2.6733,6454282,485219,0.4313,0.0324,7.5178%,12.1305,10425853,21.4869,260.6462,20000016,7337924,2.7256,3233671,242485,0.4407,0.0330,7.4988%,12.1242,5128645,21.1504,256.4320
fp,fp_12_trace,48.495734214782715,Pass,428.8457930088043,40000016,7775212,5.1446,4420257,31698,0.5685,0.0041,0.7171%,0.7924,2529058,79.7860,63.2264,20000016,3761403,5.3172,2222665,13367,0.5909,0.0036,0.6014%,0.6683,1091567,81.6613,54.5783
fp,fp_0_trace,64.73471260070801,Pass,244.48628783226013,30000052,6803080,4.4098,1619852,96496,0.2381,0.0142,5.9571%,3.2165,3023460,31.3325,100.7818,15000052,3427843,4.3759,807780,49579,0.2357,0.0145,6.1377%,3.3053,1550374,31.2708,103.3579
fp,fp_1_trace,42.69381523132324,Pass,240.47419214248657,30000052,30287521,0.9905,5950800,465721,0.1965,0.0154,7.8262%,15.5240,26588833,57.0918,886.2929,15000052,15151558,0.9900,2965791,233753,0.1957,0.0154,7.8816%,15.5835,13312188,56.9498,887.4761
fp,fp_10_trace,270.7881956100464,Pass,531.1173281669617,40000016,6884399,5.8102,3492402,83906,0.5073,0.0122,2.4025%,2.0976,1822592,21.7218,45.5648,20000016,3381573,5.9144,1748758,40084,0.5171,0.0119,2.2921%,2.0042,874823,21.8247,43.7411
fp,fp_11_trace,297.7953281402588,Pass,536.3603830337524,40000016,7611953,5.2549,3526510,27522,0.4633,0.0036,0.7804%,0.6880,607998,22.0913,15.1999,20000016,3677378,5.4387,1776440,13377,0.4831,0.0036,0.7530%,0.6688,291262,21.7733,14.5631
fp,fp_7_trace,159.0718936920166,Pass,488.6480278968811,40000016,7732604,5.1729,4716883,39037,0.6100,0.0050,0.8276%,0.9759,1769054,45.3174,44.2263,20000016,3657068,5.4689,2394520,16781,0.6548,0.0046,0.7008%,0.8390,759751,45.2745,37.9875
fp,fp_6_trace,63.58891201019287,Pass,394.8224058151245,40000016,5644324,7.0868,7034423,33006,1.2463,0.0058,0.4692%,0.8251,1289697,39.0746,32.2424,20000016,2740797,7.2972,3515104,15284,1.2825,0.0056,0.4348%,0.7642,603207,39.4666,30.1603
int,int_11_trace,203.19092559814453,Pass,549.4263639450073,60000052,16020226,3.7453,4130584,230911,0.2578,0.0144,5.5903%,3.8485,8600225,37.2448,143.3370,30000052,7988797,3.7553,2064453,116135,0.2584,0.0145,5.6255%,3.8712,4317372,37.1755,143.9122
int,int_10_trace,204.85591316223145,Pass,577.1295471191406,60000052,9662272,6.2097,7032592,31844,0.7278,0.0033,0.4528%,0.5307,866066,27.1971,14.4344,30000052,4469385,6.7123,3499163,15227,0.7829,0.0034,0.4352%,0.5076,349450,22.9494,11.6483
int,int_5_trace,138.47165870666504,Pass,348.6190378665924,30000052,6532328,4.5926,2565027,81287,0.3927,0.0124,3.1691%,2.7096,2971939,36.5611,99.0645,15000052,3255936,4.6070,1297750,40025,0.3986,0.0123,3.0842%,2.6683,1489633,37.2176,99.3085
int,int_4_trace,188.2430238723755,Pass,553.8591878414154,59999657,13331285,4.5007,7683892,218373,0.5764,0.0164,2.8420%,3.6396,4797757,21.9705,79.9631,30999657,6627714,4.6773,4061423,107459,0.6128,0.0162,2.6458%,3.4665,2329425,21.6773,75.1436
int,int_25_trace,169.04896354675293,Pass,379.67835307121277,40000052,7665617,5.2181,2766410,52946,0.3609,0.0069,1.9139%,1.3236,1987904,37.5459,49.6975,20000052,4224438,4.7344,1541724,46074,0.3650,0.0109,2.9885%,2.3037,1528982,33.1854,76.4489
