Run,workload_category,baseline_MPKI,MPP_MPKI,Bullseye_MPKI,BALL_MPKI,PIP_MPKI,MPP_improvement,Bullseye_improvement,BALL_improvement,PIP_improvement,MPP_improved,Bullseye_improved,BALL_improved,PIP_improved,category
web_20_trace,web,4.218,3.3176,3.2389,4.2048,3.3873,0.9003999999999999,0.9790999999999999,0.013200000000000323,0.8306999999999998,True,True,False,True,MPP + Bullseye + PIP
int_11_trace,int,4.2059,3.8485,4.0919,4.2187,4.1844,0.3573999999999997,0.11399999999999988,-0.012800000000000367,0.02149999999999963,True,True,False,False,MPP + Bullseye
web_2_trace,web,4.166,3.7939,3.7911,4.1788,3.833,0.37210000000000054,0.37490000000000023,-0.012799999999999478,0.3330000000000002,True,True,False,True,MPP + Bullseye + PIP
int_4_trace,int,4.1379,3.6396,3.8634,4.1305,3.8687,0.49829999999999997,0.2745000000000002,0.007400000000000517,0.2692000000000001,True,True,False,True,MPP + Bullseye + PIP
int_36_trace,int,3.9821,3.1277,2.9622,3.9779,3.0431,0.8544,1.0198999999999998,0.0041999999999999815,0.9390000000000001,True,True,False,True,MPP + Bullseye + PIP
web_3_trace,web,3.979,3.5754,3.59,3.947,3.6031,0.40359999999999996,0.38900000000000023,0.03200000000000003,0.3759000000000001,True,True,False,True,MPP + Bullseye + PIP
int_28_trace,int,3.6745,3.1619,3.4213,3.6692,3.3729,0.5126,0.2532000000000001,0.005300000000000082,0.3016000000000001,True,True,False,True,MPP + Bullseye + PIP
web_14_trace,web,3.6627,3.3479,3.598,3.6703,3.6513,0.31479999999999997,0.0647000000000002,-0.007600000000000051,0.011400000000000077,True,False,False,False,MPP Only
web_1_trace,web,3.5186,3.1778,3.2294,3.5288,3.2226,0.3408000000000002,0.2892000000000001,-0.010199999999999765,0.29600000000000026,True,True,False,True,MPP + Bullseye + PIP
int_23_trace,int,3.4824,3.1809,3.4248,3.454,3.4717,0.3015000000000003,0.05760000000000032,0.02839999999999998,0.010700000000000376,True,False,False,False,MPP Only
web_13_trace,web,3.3938,2.9919,2.9499,3.3888,3.0009,0.40190000000000037,0.4439000000000002,0.0050000000000003375,0.3929,True,True,False,True,MPP + Bullseye + PIP
web_22_trace,web,3.3895,3.2276,3.2539,3.3822,3.2192,0.16190000000000015,0.13560000000000016,0.007299999999999862,0.17030000000000012,True,True,False,True,MPP + Bullseye + PIP
web_10_trace,web,3.366,2.834,2.8169,3.3555,2.7344,0.532,0.5491000000000001,0.010499999999999954,0.6316000000000002,True,True,False,True,MPP + Bullseye + PIP
compress_0_trace,compress,3.2681,3.1891,3.227,3.2696,2.7349,0.07900000000000018,0.041100000000000136,-0.0015000000000000568,0.5331999999999999,False,False,False,True,PIP Only
fp_0_trace,fp,3.227,3.2165,3.2262,3.227,3.261,0.010499999999999954,0.0007999999999999119,0.0,-0.03400000000000025,False,False,False,False,None
int_34_trace,int,3.0703,2.7982,2.9654,3.0739,2.8801,0.2721,0.10490000000000022,-0.0036000000000000476,0.19019999999999992,True,True,False,True,MPP + Bullseye + PIP
int_6_trace,int,2.9584,2.8209,2.9258,2.9626,2.9749,0.13750000000000018,0.03259999999999996,-0.0041999999999999815,-0.016499999999999737,True,False,False,False,MPP Only
web_9_trace,web,2.9326,2.5177,2.4984,2.9333,2.4984,0.4148999999999998,0.4341999999999997,-0.000700000000000145,0.4341999999999997,True,True,False,True,MPP + Bullseye + PIP
int_5_trace,int,2.855,2.7096,2.838,2.8583,2.8708,0.14539999999999997,0.016999999999999904,-0.0032999999999998586,-0.015800000000000036,True,False,False,False,MPP Only
web_18_trace,web,2.8461,2.7317,2.7449,2.8365,2.7211,0.11439999999999984,0.10119999999999996,0.009599999999999831,0.125,True,True,False,True,MPP + Bullseye + PIP
int_20_trace,int,2.7912,2.5326,2.3513,2.76,2.4574,0.25859999999999994,0.43989999999999974,0.031200000000000117,0.3338000000000001,True,True,False,True,MPP + Bullseye + PIP
fp_2_trace,fp,2.5615,2.4614,2.5453,2.5588,2.5788,0.1001000000000003,0.016199999999999992,0.0026999999999999247,-0.017300000000000093,True,False,False,False,MPP Only
infra_4_trace,infra,2.479,2.3702,2.4276,2.4586,2.3511,0.10880000000000001,0.05140000000000011,0.020399999999999974,0.1278999999999999,True,False,False,True,MPP + PIP
int_35_trace,int,2.4647,1.9749,2.2559,2.4776,2.2847,0.4898,0.2088000000000001,-0.01289999999999969,0.18000000000000016,True,True,False,True,MPP + Bullseye + PIP
infra_5_trace,infra,2.2119,2.2083,2.199,2.2115,2.2723,0.0036000000000000476,0.012900000000000134,0.00039999999999995595,-0.06040000000000001,False,False,False,False,None
fp_10_trace,fp,2.1174,2.0976,1.9399,1.8923,1.9276,0.01980000000000004,0.1775,0.22509999999999986,0.18979999999999997,False,True,True,True,Bullseye + BALL + PIP
compress_7_trace,compress,2.048,2.0051,2.0403,2.0491,2.021,0.04289999999999994,0.007700000000000262,-0.001100000000000101,0.027000000000000135,False,False,False,False,None
web_24_trace,web,2.0456,1.6677,1.6661,2.049,1.7147,0.3778999999999999,0.37949999999999995,-0.0034000000000000696,0.33089999999999997,True,True,False,True,MPP + Bullseye + PIP
fp_3_trace,fp,2.0315,1.8114,1.9455,2.0208,1.9942,0.22009999999999996,0.08599999999999985,0.010699999999999932,0.03729999999999989,True,False,False,False,MPP Only
compress_5_trace,compress,1.9322,1.8814,1.898,1.9284,1.863,0.050799999999999956,0.03420000000000001,0.0038000000000000256,0.06919999999999993,False,False,False,False,None
compress_6_trace,compress,1.9036,1.8515,1.8737,1.8941,1.8499,0.052100000000000035,0.029900000000000038,0.009500000000000064,0.05369999999999986,False,False,False,False,None
web_16_trace,web,1.8538,1.561,1.5849,1.8571,1.617,0.29279999999999995,0.2688999999999999,-0.0033000000000000806,0.2367999999999999,True,True,False,True,MPP + Bullseye + PIP
compress_4_trace,compress,1.8228,1.7784,1.7948,1.825,1.7729,0.044399999999999995,0.028000000000000025,-0.0021999999999999797,0.049900000000000055,False,False,False,False,None
web_21_trace,web,1.7274,1.4603,1.5025,1.7327,1.5466,0.2671000000000001,0.2249000000000001,-0.00529999999999986,0.18080000000000007,True,True,False,True,MPP + Bullseye + PIP
web_17_trace,web,1.7267,1.4043,1.4167,1.7308,1.4479,0.3223999999999998,0.30999999999999983,-0.0040999999999999925,0.27879999999999994,True,True,False,True,MPP + Bullseye + PIP
compress_1_trace,compress,1.6834,1.6407,1.6515,1.6841,1.6289,0.04269999999999996,0.03190000000000004,-0.0006999999999999229,0.05449999999999999,False,False,False,False,None
infra_7_trace,infra,1.4983,1.445,1.4282,1.4967,1.3292,0.0532999999999999,0.07010000000000005,0.0016000000000000458,0.16910000000000003,False,False,False,True,PIP Only
compress_2_trace,compress,1.4826,1.443,1.457,1.4847,1.4278,0.03959999999999986,0.025599999999999845,-0.0020999999999999908,0.05479999999999996,False,False,False,False,None
web_0_trace,web,1.3961,1.2718,1.3081,1.4009,1.3145,0.12429999999999986,0.08799999999999986,-0.0048000000000001375,0.0815999999999999,True,False,False,False,MPP Only
media_3_trace,media,1.3813,1.1746,1.2893,1.4012,1.315,0.20669999999999988,0.09200000000000008,-0.01990000000000003,0.06630000000000003,True,False,False,False,MPP Only
int_26_trace,int,1.3377,1.1711,1.2644,1.3413,1.2909,0.16659999999999986,0.07329999999999992,-0.0036000000000000476,0.04679999999999995,True,False,False,False,MPP Only
int_25_trace,int,1.3243,1.3236,1.3181,1.3214,1.3197,0.0006999999999999229,0.006199999999999983,0.0029000000000001247,0.0045999999999999375,False,False,False,False,None
infra_0_trace,infra,1.2832,1.2135,1.2549,1.2782,1.2289,0.06969999999999987,0.028299999999999992,0.004999999999999893,0.05429999999999979,False,False,False,False,None
infra_6_trace,infra,1.2642,1.1873,1.208,1.2615,1.2155,0.07689999999999997,0.05620000000000003,0.0026999999999999247,0.048699999999999966,False,False,False,False,None
infra_8_trace,infra,1.2568,1.252,1.2493,1.2565,1.3508,0.0047999999999999154,0.00749999999999984,0.00029999999999996696,-0.09400000000000008,False,False,False,False,None
fp_12_trace,fp,1.2157,0.7924,0.8206,1.214,1.0914,0.4233,0.3951,0.0017000000000000348,0.12430000000000008,True,True,False,True,MPP + Bullseye + PIP
media_0_trace,media,1.1764,0.9918,1.0855,1.1819,1.1127,0.18459999999999988,0.09089999999999998,-0.00550000000000006,0.06369999999999987,True,False,False,False,MPP Only
media_1_trace,media,1.159,0.9916,1.0785,1.1588,1.0802,0.1674,0.08050000000000002,0.00019999999999997797,0.07879999999999998,True,False,False,False,MPP Only
web_23_trace,web,1.1539,0.9747,0.9654,1.1653,0.9772,0.17919999999999991,0.1884999999999999,-0.011400000000000077,0.17669999999999997,True,True,False,True,MPP + Bullseye + PIP
fp_7_trace,fp,1.1277,0.9759,1.0289,1.1295,1.0718,0.15179999999999993,0.0988,-0.0018000000000000238,0.05589999999999984,True,False,False,False,MPP Only
infra_11_trace,infra,1.0885,0.9933,0.9969,1.0839,1.0299,0.09520000000000006,0.09160000000000001,0.0045999999999999375,0.058599999999999985,False,False,False,False,None
infra_12_trace,infra,1.0706,0.9752,0.9772,1.0757,1.0097,0.09540000000000004,0.09340000000000004,-0.0051000000000001044,0.060899999999999954,False,False,False,False,None
infra_3_trace,infra,1.0632,1.019,1.0277,1.0538,1.0074,0.04420000000000002,0.035499999999999865,0.009399999999999853,0.05579999999999985,False,False,False,False,None
fp_6_trace,fp,1.0193,0.8251,0.9236,0.9836,0.9645,0.19420000000000015,0.09570000000000012,0.035700000000000065,0.05480000000000007,True,False,False,False,MPP Only
fp_5_trace,fp,0.9364,0.9212,0.9329,0.9361,0.5128,0.015199999999999991,0.0035000000000000586,0.00029999999999996696,0.4236,False,False,False,True,PIP Only
