Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_13_trace,139.63556957244873,Pass,417.8362948894501,50000052,20321950,2.4604,6532412,203151,0.3214,0.0100,3.1099%,4.0630,13520753,66.5552,270.4148,25000052,9598692,2.6045,3378036,82378,0.3519,0.0086,2.4386%,3.2951,5092578,61.8196,203.7027
infra,infra_3_trace,83.57435989379883,Pass,350.37611413002014,40000016,8044664,4.9722,5433078,41135,0.6754,0.0051,0.7571%,1.0284,1062427,25.8278,26.5607,20000016,3987764,5.0153,2737308,18931,0.6864,0.0047,0.6916%,0.9465,496938,26.2500,24.8469
infra,infra_2_trace,221.61112022399902,Pass,651.0947599411011,47546686,10600926,4.4851,5818731,21518,0.5489,0.0020,0.3698%,0.4526,686105,31.8852,14.4301,24546686,4295835,5.7141,2997214,6489,0.6977,0.0015,0.2165%,0.2644,121304,18.6938,4.9418
web,web_21_trace,37.0328950881958,Pass,134.94588494300842,15000054,5918226,2.5346,2614946,22963,0.4418,0.0039,0.8781%,1.5309,2018269,87.8922,134.5508,8000054,4730161,1.6913,1411368,18225,0.2984,0.0039,1.2913%,2.2781,1832195,100.5320,229.0228
web,web_20_trace,91.22524166107178,Pass,157.12418723106384,20000004,10226328,1.9557,3186911,63738,0.3116,0.0062,2.0000%,3.1869,1983262,31.1158,99.1631,10000004,3730874,2.6803,1586755,17719,0.4253,0.0047,1.1167%,1.7719,559908,31.5993,55.9908
web,web_15_trace,61.94837951660156,Pass,124.39065194129944,14999858,7881767,1.9031,2411251,75983,0.3059,0.0096,3.1512%,5.0656,2292468,30.1708,152.8326,7999858,3219444,2.4849,1229867,33217,0.3820,0.0103,2.7009%,4.1522,895753,26.9667,111.9711
web,web_14_trace,235.48800468444824,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web,web_0_trace,104.021315574646,Pass,340.98023295402527,39999493,19899071,2.0101,11904941,53197,0.5983,0.0027,0.4468%,1.3299,6647594,124.9618,166.1920,20999493,9702482,2.1643,6370198,19210,0.6566,0.0020,0.3016%,0.9148,2187715,113.8842,104.1794
web,web_1_trace,158.93916416168213,Pass,352.0045819282532,39999048,11968961,3.3419,5515292,128386,0.4608,0.0107,2.3278%,3.2097,4429167,34.4988,110.7318,20999048,4944752,4.2467,2909408,68022,0.5884,0.0138,2.3380%,3.2393,1914403,28.1439,91.1662
web,web_18_trace,40.12125015258789,Pass,127.91357207298279,15000059,3904073,3.8422,1853795,40794,0.4748,0.0104,2.2006%,2.7196,2020771,49.5360,134.7175,8000059,1968431,4.0642,994147,20408,0.5050,0.0104,2.0528%,2.5510,1018577,49.9107,127.3212
web,web_19_trace,46.80075454711914,Pass,116.46647691726685,15000016,9424055,1.5917,2562002,75833,0.2719,0.0080,2.9599%,5.0555,2347862,30.9610,156.5240,8000016,4280912,1.8688,1380363,49375,0.3224,0.0115,3.5770%,6.1719,1185834,24.0169,148.2290
web,web_12_trace,61.48514461517334,Pass,121.19490194320679,15000009,9185016,1.6331,2254326,59122,0.2454,0.0064,2.6226%,3.9415,1990017,33.6595,132.6677,8000009,4258858,1.8784,1175254,36961,0.2760,0.0087,3.1449%,4.6201,1121820,30.3515,140.2273
web,web_13_trace,134.68522262573242,Pass,383.9506938457489,39999813,16850894,2.3738,4813533,118146,0.2857,0.0070,2.4545%,2.9537,3802976,32.1888,95.0748,20999813,7097144,2.9589,2687998,54542,0.3787,0.0077,2.0291%,2.5973,1911194,35.0408,91.0100
web,web_7_trace,41.589111328125,Pass,268.3964841365814,39999850,9317368,4.2930,6633962,240358,0.7120,0.0258,3.6231%,6.0090,4514698,18.7832,112.8679,20999850,4385536,4.7884,3471337,106647,0.7915,0.0243,3.0722%,5.0785,1844722,17.2975,87.8445
web,web_6_trace,115.35440254211426,Pass,333.82961678504944,40000022,12922153,3.0955,6002648,182453,0.4645,0.0141,3.0395%,4.5613,5421832,29.7163,135.5457,20000022,6730043,2.9718,2962421,112674,0.4402,0.0167,3.8034%,5.6337,3315662,29.4270,165.7829
web,web_16_trace,61.720746994018555,Pass,190.04154086112976,20000052,9922743,2.0156,1486259,32110,0.1498,0.0032,2.1605%,1.6055,1201117,37.4063,60.0557,10000052,6899544,1.4494,732871,22186,0.1062,0.0032,3.0273%,2.2186,823903,37.1362,82.3899
web,web_17_trace,54.710463523864746,Pass,123.33086824417114,15000021,6114208,2.4533,2215426,21781,0.3623,0.0036,0.9832%,1.4521,905514,41.5736,60.3675,8000021,2277106,3.5132,1069158,4953,0.4695,0.0022,0.4633%,0.6191,167202,33.7577,20.9002
web,web_3_trace,134.2002592086792,Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web,web_2_trace,126.7424545288086,Pass,357.4421179294586,39999746,11829123,3.3815,5842811,149896,0.4939,0.0127,2.5655%,3.7474,4207132,28.0670,105.1790,20999746,5715578,3.6741,3176039,82482,0.5557,0.0144,2.5970%,3.9278,2455473,29.7698,116.9287
web,web_22_trace,51.9125394821167,Pass,150.66151595115662,20000051,5932160,3.3715,2417352,64611,0.4075,0.0109,2.6728%,3.2305,2926517,45.2944,146.3255,10000051,2615455,3.8234,1222376,29959,0.4674,0.0115,2.4509%,2.9959,1405522,46.9149,140.5515
web,web_23_trace,60.17267894744873,Pass,176.84768414497375,20000047,6273241,3.1882,3286069,20203,0.5238,0.0032,0.6148%,1.0101,735915,36.4260,36.7957,10000047,4557670,2.1941,1544231,15334,0.3388,0.0034,0.9930%,1.5334,548913,35.7971,54.8910
web,web_9_trace,113.31267833709717,Pass,352.79644894599915,39999863,13924413,2.8726,6952037,98592,0.4993,0.0071,1.4182%,2.4648,2506818,25.4262,62.6707,20999863,4400735,4.7719,4136031,2550,0.9399,0.0006,0.0617%,0.1214,50628,19.8541,2.4109
web,web_8_trace,110.87185478210449,Pass,352.79967284202576,39999955,13723913,2.9146,6210740,182924,0.4525,0.0133,2.9453%,4.5731,4918817,26.8899,122.9706,20999955,5693684,3.6883,3431526,80546,0.6027,0.0141,2.3472%,3.8355,2100155,26.0740,100.0076
web,web_11_trace,43.46553611755371,Pass,86.45433306694031,10001443,11467353,0.8722,1391369,46743,0.1213,0.0041,3.3595%,4.6736,1967146,42.0843,196.6862,5001443,5023023,0.9957,674449,22986,0.1343,0.0046,3.4081%,4.5959,893560,38.8741,178.6604
web,web_10_trace,67.32332420349121,Pass,165.9361732006073,19999796,11046705,1.8105,2621960,56789,0.2374,0.0051,2.1659%,2.8395,1824512,32.1279,91.2265,10999796,3284973,3.3485,1436395,24096,0.4373,0.0073,1.6775%,2.1906,665576,27.6218,60.5080
web,web_4_trace,107.63480854034424,Pass,338.9555308818817,39999718,13089449,3.0559,6265226,160804,0.4786,0.0123,2.5666%,4.0201,4807477,29.8965,120.1878,20999718,6201273,3.3864,3426349,73009,0.5525,0.0118,2.1308%,3.4767,2084510,28.5514,99.2637
